"filename", "language", "TypeScript", "TypeScript React", "comment", "blank", "total"
"/Users/chris/Keplux/flamingo/src/constants/sexualOrientation.ts", "TypeScript", 11, 0, 0, 0, 11
"/Users/chris/Keplux/flamingo/src/enums/AuthScreenEnum.ts", "TypeScript", 7, 0, 0, 1, 8
"/Users/chris/Keplux/flamingo/src/enums/CameraSetting.ts", "TypeScript", 6, 0, 0, 1, 7
"/Users/chris/Keplux/flamingo/src/enums/NewProfileScreenEnum.ts", "TypeScript", 9, 0, 0, 1, 10
"/Users/chris/Keplux/flamingo/src/hooks/reduxHooks.ts", "TypeScript", 4, 0, 0, 2, 6
"/Users/chris/Keplux/flamingo/src/hooks/useAlbum.ts", "TypeScript", 22, 0, 15, 5, 42
"/Users/chris/Keplux/flamingo/src/hooks/useAllUsers.ts", "TypeScript", 32, 0, 13, 7, 52
"/Users/chris/Keplux/flamingo/src/hooks/useAuthenticatedUserProfile.ts", "TypeScript", 48, 0, 7, 6, 61
"/Users/chris/Keplux/flamingo/src/hooks/useCamera.ts", "TypeScript", 51, 0, 17, 12, 80
"/Users/chris/Keplux/flamingo/src/hooks/useDisclosure.ts", "TypeScript", 8, 0, 4, 3, 15
"/Users/chris/Keplux/flamingo/src/hooks/useEncodeForAws.ts", "TypeScript", 12, 0, 0, 5, 17
"/Users/chris/Keplux/flamingo/src/hooks/useIdScanner.ts", "TypeScript", 80, 0, 0, 12, 92
"/Users/chris/Keplux/flamingo/src/hooks/useLocation.ts", "TypeScript", 20, 0, 0, 6, 26
"/Users/chris/Keplux/flamingo/src/hooks/useMediaLibrary.ts", "TypeScript", 23, 0, 5, 6, 34
"/Users/chris/Keplux/flamingo/src/hooks/useSelfieValidator.ts", "TypeScript", 58, 0, 0, 10, 68
"/Users/chris/Keplux/flamingo/src/initSupabase.ts", "TypeScript", 9, 0, 0, 3, 12
"/Users/chris/Keplux/flamingo/src/navigation/AuthStack.tsx", "TypeScript React", 0, 17, 3, 4, 24
"/Users/chris/Keplux/flamingo/src/navigation/MainStack.tsx", "TypeScript React", 0, 32, 0, 7, 39
"/Users/chris/Keplux/flamingo/src/navigation/MainTabs.tsx", "TypeScript React", 0, 62, 9, 5, 76
"/Users/chris/Keplux/flamingo/src/navigation/index.tsx", "TypeScript React", 0, 16, 0, 4, 20
"/Users/chris/Keplux/flamingo/src/provider/AuthProvider.tsx", "TypeScript React", 0, 63, 1, 9, 73
"/Users/chris/Keplux/flamingo/src/provider/ThemeProvider.tsx", "TypeScript React", 0, 37, 3, 7, 47
"/Users/chris/Keplux/flamingo/src/redux/slices/cameraSlice.ts", "TypeScript", 57, 0, 0, 6, 63
"/Users/chris/Keplux/flamingo/src/redux/store.ts", "TypeScript", 7, 0, 0, 3, 10
"/Users/chris/Keplux/flamingo/src/screens/Loading.tsx", "TypeScript React", 0, 10, 0, 3, 13
"/Users/chris/Keplux/flamingo/src/screens/auth/AuthScreen.tsx", "TypeScript React", 0, 34, 0, 4, 38
"/Users/chris/Keplux/flamingo/src/screens/auth/EmailConfirmationScreen/EmailConfirmationScreen.spec.ts", "TypeScript", 0, 0, 0, 1, 1
